key	en	vi	cs
day_friday_name	Friday	Thứ sáu	Pátek
day_friday_shortcut	Fri	T6	Pá
day_monday_name	Monday	Thứ hai	Pondělí
day_monday_shortcut	Mon	T2	Po
day_saturday_name	Saturday	Thứ bảy	Sobota
day_saturday_shortcut	Sat	T7	So
day_sunday_name	Sunday	Chủ nhật	Neděle
day_sunday_shortcut	Sun	CN	Ne
day_thursday_name	Thursday	Thứ năm	Čtvrtek
day_thursday_shortcut	Thu	T5	Čt
day_tuesday_name	Tuesday	Thứ ba	Úterý
day_tuesday_shortcut	Tue	T3	Út
day_wednesday_name	Wednesday	Thứ tư	Středa
day_wednesday_shortcut	Wed	T4	St
days_of_week	name;shortcut,Sunday;Sun,Monday;Mon,Tuesday;Tue,Wednesday;Wed,Thursday;Thu,Friday;Fri,Saturday;Sat	name;shortcut,Chủ nhật;CN,Thứ hai;T2,Thứ ba;T3,Thứ tư;T4,Thứ năm;T5,Thứ sáu;T6,Thứ bảy;T7	name;shortcut,Neděle;Ne,Pondělí;Po,Úterý;Út,Středa;St,Čtvrtek;Čt,Pátek;Pá,Sobota;So
misc_about_us	About	Thông tin	O nás
misc_accomodation	accomodation	chỗ ở	ubytování
misc_account_number	Account number	Số tài khoản	Číslo účtu
misc_active	active	trực tiếp	aktivní
misc_actual_shift_amount	Actual shift amount	Số ca thực tế	Současný počet směn
misc_actual_working_time	actual working time	thời gian làm việc thực tế	aktuální pracovní doba
misc_actual_workplace	actual workplace	nơi việc hiện tại	aktuální pracoviště
misc_add	Add	Tạo	Přidat
misc_add_faq	Add faq	Thêm FAQ	Přidat FAQ
misc_add_manually	add manually	thêm thủ công	ručně přidat
misc_add_new_bill	Add new bill	Tạo hoá đơn mới	Přidat novou fakturu
misc_add_new_form	Add new form	Tạo đơn mới	Přidat nový formulář
misc_add_new_merchant	Add new merchant	Tạo nhà bán buôn mới	Přidat nový obchodník
misc_add_payment_terminal	Add payment terminal	Tạo máy trả thẻ	Přidat platební terminál
misc_add_reference	add reference	tạo kết nối	vytvořit odkaz
misc_add_shift	add shift	thêm ca	přidat směnu
misc_add_store	Add store	Thêm cửa hàng	Přidat provozovnu
misc_add_url	add URL	thêm URL	přidat URL
misc_add_workplace	add workplace	thêm nơi làm việc mới	přidat nové pracoviště
misc_addition_mail_sent	email addition sent	đã gửi email thêm chi tiết	email s dodatekem odeslán
misc_address	Address	Địa chỉ	Adresa
misc_address_instruction_1	You will need to get the coordinates of the workplace in 2 ways	Bạn cần lấy toạ độ của nơi làm việc theo 2 cách	Musíte získat souřadnice pracoviště 2 způsoby
misc_aggregation	Aggregation	Tổng hợp	Agregace
misc_align_camera_to_qr_code	align camera to QR code	di chuyển camera đến mã QR	zaměřte kameru na QR kód
misc_all	all	tất cả	všechny
misc_allow_camera_permission_to_do_registration	allow camera access to scan registration QR Code	hãy cho phép truy cập camera để scan mã QR đăng ký	povolte přístup ke kameře pro skenování registračního QR kódu
misc_allowed_overtime	Allowed overtime	Thời gian làm thêm được phép	Povolený přesčas
misc_allowed_overtime_desc	Max allowed time for early check in or late check outside of working hours.	Tối đa thời gian cho phép để check in sớm hoặc check out muộn ngoài giờ làm việc.	Maximální povolený čas pro brzké přihlášení nebo pozdní odhlášení mimo pracovní dobu.
misc_allowed_radius	allowed radius	bán kính cho phép	povolený poloměr
misc_amount	Amount	Số lượng	Počet
misc_amount_records	Records amount	Số lượng đơn	Počet záznamů
misc_answer	answer	câu trả lời	odpověď
misc_api_documentation	API Documentation	API Documentation	API Dokumentace
misc_app_id	App ID	ID ứng dụng	ID aplikace
misc_app_id_copied	App ID has been copied	đã sao chép ID của ứng dụng	kopírováno ID aplikace
misc_apply	apply	áp dụng	použít
misc_apply_for_all_days	apply for all days	áp dụng cho tất cả các ngày	použít pro všechny dny
misc_approved	approved	đã duyệt	schváleno
misc_assigned	assigned	đã giao	přiděleno
misc_at_row	at row	ở hàng	u řádku
misc_attendance	attendance	điểm danh	docházka
misc_attendance_failed	attendance failed	điểm danh thất bại	docházka neúspěšná
misc_attendance_success	attendance success	điểm danh thành công	docházka úspěšná
misc_attendances	attendances	điểm danh	docházky
misc_authenticate	authenticate	xác thực bảo mật	autentizace
misc_authenticate_to_continue	Authenticate to continue	Xác thực để tiếp tục	Pokračujte v autentizaci
misc_auto_logout_in	auto logout in	tự động đăng xuất trong	automatické odhlášení za
misc_available	is available	có sẵn	dostupný
misc_average	average	trung bình	průměr
misc_back	back	quay lại	zpět
misc_back_side	back side	phía sau	zadní strana
misc_back_to_app	Back to App	Quay lại App	Zpět do Aplikace
misc_bank	bank	ngân hàng	banka
misc_bank_account	bank account	STK ngân hàng	bankovní účet
misc_bank_accounts	bank accounts	STK ngân hàng	bankovní účty
misc_bank_number	Bank number	Số ngân hàng	Číslo banky
misc_bank_updated	bank updated	đã cập nhập ngân hàng	banka aktualizována
misc_bill	bill	hoá đơn	faktura
misc_bill_added	bill added	đã tạo hoá đơn	faktura přidána
misc_bill_confirmed	bill confirmed	hoá đơn đã xác nhận	faktura potvrzena
misc_bill_deleted	bill deleted	hoá đơn đã xoá	faktura smazána
misc_bill_number	bill number	số hoá đơn	číslo faktury
misc_bill_sent	bill sent	hoá đơn đã gửi	faktura odeslána
misc_bill_updated	bill updated	đã cập nhập hoá đơn	faktura aktualizována
misc_billing_information	billing information	thông tin thanh toán	fakturační údaje
misc_billing_time	money transfer time	thời gian chuyển khoản	doba převodu peněz
misc_bills	bills	hoá đơn	faktury
misc_birth_number	birth number	số sinh	rodné číslo
misc_bluetooth_permission_required	Bluetooth permission required to scan for local attendance devices	cần quyền sử dụng Bluetooth để quét thiết bị điểm danh	musíte povolit použití Bluetooth pro skenování lokální zařízení docházky
misc_break	break time	thời gian nghỉ	přestávka
misc_break_ending_soon_for	Break ending soon for	Thời gian nghỉ sắp kết thúc cho	Přestávka brzy končí pro
misc_break_not_available	Break not available	Không có đơn nghỉ	žádná přestávka
misc_break_overdue	breaks overdue	tạm nghỉ quá hạn	přerušení překročeno
misc_break_submission_failed	break submission failed	gửi\ đơn nghỉ thất bại	žádost o přestávku selhala
misc_break_submitted	break submitted	đã gửi đơn nghỉ	žádost o přestávku odeslána
misc_breakfast	Breakfast	Bữa sáng	Snídaně
misc_breaks	breaks time	thời gian nghỉ	přestávky
misc_bubble_tea	bubble tea	trà sữa	mléčný čaj
misc_by_partners	by partners	theo đối tác	podle partnera
misc_by_provider	by provider	theo nhà phát hành	podle zprostředkovatele
misc_by_status	by status	theo trạng thái	podle statusu
misc_cafe	café	quán nước	kavárna
misc_camera_to_do_registration	use camera to scan registration QR Code	dùng camera để scan mã QR đăng ký	používejte kameru pro skenování registračního QR kódu
misc_cancel	Cancel	Huỷ	Zrušit
misc_cancel_device_pairing	cancel device pairing	hủy ghép nối thiết bị	zrušit párování zařízení
misc_cancel_pairing_succeed	cancel pairing succeed	hủy ghép nối thành công	zrušení párování úspěšně
misc_cannot_revert_action	you cannot revert this action	bạn không thể hoàn trả thao tác này	nemůžete vrátit tuto akci
misc_changes	changes	thay đổi	změny
misc_check	check	kiểm tra	kontrola
misc_check_fields	Check filled fields	Kiểm tra ô đã điền	Zkontrolujte vyplněné údaje!
misc_check_in	check-in	check-in	příchod
misc_check_in_time	checked in at	đã check in lúc	byl přítomen v
misc_check_merchants	check merchants	kiểm tra nhà bán buôn	kontrola obchodníků
misc_check_out	check-out	check-out	odchod
misc_check_out_time	checked out at	đã check out lúc	odcházen v
misc_check_signed_documents	check signed documents	kiểm tra đơn đã ký	kontrola podepsaných dokumentů
misc_check_unsigned_documents	check unsigned documents	kiểm tra đơn chưa ký	kontrola nepodepsaných dokumentů
misc_checked_in	checked in	đã check-in	provedl příchod
misc_checked_in_late	checked in late	đã check-in trễ	zavedení příchodu pozdě
misc_checked_in_late_by_employee	checked in late by employee	đã check-in trễ bởi nhân viên	zavedení příchodu pozdě podle zaměstnance
misc_checked_in_on_time	checked in on time	check in đúng giờ	příchod včas
misc_checked_out	checked out	đã check-out	odchod zaveden
misc_checked_out_early	checked out early	đã check-out sớm	odchod zaveden brzo
misc_checked_out_early_by_employee	checked out early by employee	đã check-out sớm bởi nhân viên	odchod zaveden brzo podle zaměstnance
misc_checked_out_on_time	checked out on time	check out đúng giờ	odchod včas
misc_choose_user	choose user	chọn người dùng	vybrat uživatele
misc_chosen_store	chosen store	cửa hàng đã chọn	vybraná provozovna
misc_city	City	Thành phố	Město
misc_clear_signature	clear signature	xoá chữ ký	smazat podpis
misc_click_to_sign	Click to Sign	Bấm để ký	Klikněte pro podpis
misc_close	Close	Đóng	Zavřít
misc_closed	closed	đã đóng	zavřeno
misc_commercial_activity	commercial activity	hoạt động thương mại	obchodní činnost
misc_companies	Company	Công ty	Firmy
misc_company	Company	Công ty	Firma
misc_comparison_actual_expected	comparison actual expected	so sánh thực tế và mong muốn	porovnání skutečného a očekávaného
misc_confirm	Confirm	Xác nhận	Potvrdit
misc_confirm_cancel_device_pairing	Confirm cancel device pairing	Xác nhận hủy kết nối thiết bị	Potvrdit zrušení párování zařízení
misc_confirm_check_in	confirm check in	xác nhận check in	potvrdit příchod
misc_confirm_check_out	confirm check out	xác nhận check out	potvrdit odchod
misc_confirm_date	confirmation date	ngày xác nhận	den potvrzení
misc_confirm_delete	confirm delete	xác nhận xoá	potvrdit smazání
misc_confirm_password	Confirm password	Xác nhận mật khẩu	Ověření hesla
misc_confirmed	confirmed	đã xác nhận	potvrzeno
misc_confirmed_by_customer	Confirmed by customer	Được khách xác nhận	Potvrzeno zákazníkem
misc_contact	Contacts	Liên hệ	Kontakty
misc_contract_option	contract option	tuỳ chọn hợp đồng	vybrat možnost smlouvy
misc_copied	copied	đã sao chép	kopírováno
misc_copied_to_clipboard	copied to Clipboard	đã sao chép vào bộ nhớ	kopírováno do schránky
misc_copy_from_merchant	Copy from basement	Sao chép từ công ty	Kopírovat z sídla
misc_country	Country	Quốc gia	Stát
misc_create	create	tạo	založit
misc_create_company	create a company	tạo công ty	vytvořit společnost
misc_create_employee	create a employee	tạo nhân viên mới	vytvořit nový zaměstnanec
misc_create_user	create new user	tạo người dùng mới	založit nový uživatel
misc_created	created	tạo	založeno
misc_created_bills	Created bills	Hoá đơn được tạo	Vytvořené faktury
misc_created_date	Created day	Ngày tạo	Den založení
misc_creator	Creator	Người tạo	Tvůrce
misc_creator_email	Creator's e-mail	E-mail người tạo	E-mail tvůrce
misc_currency	Currency	Tiền tệ	Měna
misc_dashboard	Dashboard	Dashboard	Dashboard
misc_date	Date	Ngày	Datum
misc_day	Day	Ngày	Den
misc_ddc_reward	DDC reward	thưởng DDC	odměna DDC
misc_decided	Decided	Quyết định	Rozhodnuto
misc_decided_date	Decided day	Ngày quyết định	Den rozhodnutí
misc_default	default	mặc định	výchozí
misc_delayed	delayed	muộn	zpožděno
misc_delete	delete	xoá	smazat
misc_delete_draft	delete draft	xoá nháp	smazat koncept
misc_delete_form	Delete form	Xoá đơn	Smazat formulář
misc_delete_store	Delete store	Xoá cửa hàng	Smazat provozovnu
misc_deleted	deleted	đã xoá	smazáno
misc_deleted_draft	deleted draft	đã xoá nháp	koncept smazán
misc_delimiter	delimiter	phân cách	oddělovač
misc_details	details	chi tiết	podrobnosti
misc_device	Device	Máy	Zařízení
misc_device_id	device ID	ID thiết bị	ID zařízení
misc_device_paired	device paired	thiết bị đã ghép nối	zařízení spárováno
misc_device_pairing	device pairing	ghép nối thiết bị	spárování zařízení
misc_device_pairing_failed	Device pairing failed	Ghép nối thiết bị thất bại	Párování zařízení selhalo
misc_device_registration	Device registration	Đăng ký thiết bị	Registrace zařízení
misc_devices	Devices	Máy	Zařízení
misc_dinner	Dinner	Bữa tối	Večeře
misc_disable	disable	tắt	zakázat
misc_distance	distance	khoảng cách	vzdálenost
misc_distance_left	distance left	khoảng cách còn lại	zbývající vzdálenost
misc_do_not_forget_check_out_before	Do not forget to check out before	Đừng quên check out trước	Nezapomeňte odhlásit před
misc_do_not_forget_finish_before	Do not forget to finish before	Đừng quên kết thúc trước	Nezapomeňte dokončit před
misc_do_not_forget_finish_it	Do not forget to finish it	Đừng quên kết thúc nó	Nezapomeňte to dokončit
misc_do_not_forget_finish_it_before_shift_end	Do not forget to finish it before shift end	Đừng quên kết thúc trước khi ca làm việc kết thúc	nezapomeňte to dokončit před koncem směny
misc_documents	documents	tài liệu	dokumenty
misc_domain	domain	tên miền	doména
misc_download	download	tải về	stáhnout
misc_download_csv	Download CSV	Tải CSV	Stáhnout CSV
misc_draft_saved	draft saved	đã lưu nháp	koncept uložen
misc_duplicate	duplicate	trùng lặp	duplikát
misc_duration	Duration	Thời lượng	Doba trvání
misc_earliest_check_in_time	Earliest check-in time	Thời gian check-in sớm nhất	Nejbližší možný čas přihlášení
misc_early	early	sớm	dříve
misc_edit	Edit	Chỉnh sửa	Editace
misc_edit_form	Edit form	Sửa đơn	Úprava formuláře
misc_edit_user	Edit user	Sửa nhân viên	Upravit uživatele
misc_email	E-mail	E-mail	E-mail
misc_emails	E-mails	E-mail	E-maily
misc_employee	employee	nhân viên	zaměstnanec
misc_employees	employees	nhân viên	zaměstnanci
misc_enable	enable	bật	povolit
misc_enable_in_settings	enable in settings	bật trong cài đặt	povolit v nastavení
misc_enable_notification_to_receive_shift_reminders	enable notification to receive shift reminders	bật thông báo để nhận nhắc nhở ca làm việc	povolte oznámení pro připomenutí směny
misc_enable_notifications	enable notifications	bật thông báo	povolit oznámení
misc_end_time	end time	thời gian kết thúc	čas ukončení
misc_enter_token	Enter token	Nhập mã	Nastavit token
misc_enter_url	Enter URL	Nhập URL	Nastavit URL
misc_error	error	lỗi	chyba
misc_estimated_revenue	Estimated revenue	Doanh số dự kiến	Předpokládaná tržba
misc_example	example	ví dụ	příklad
misc_examples	examples	ví dụ	příklady
misc_exceeded_time	exceeded time	vượt quá thời gian	překročen čas
misc_expected	expected	mong muốn	očekávaný
misc_expected_end_time	Expected end time	Thời gian kết thúc dự kiến	Předpokládaný čas ukončení
misc_expected_shift_amount	Expected shift amount	Số ca dự kiến	Předpokládaný počet směn
misc_expected_working_time	expected working time	thời gian làm việc dự kiến	požadovaná pracovní doba
misc_expiration_date	expiration date	ngày hết hạn	den expirace
misc_export	export	export	exportovat
misc_export_csv	export csv	xuất dữ liệu CSV	exportovat CSV
misc_exposure_date	exposure date	ngày hiệu lực	den vystavení
misc_extend	extend	gia hạn	prodloužit
misc_extend_pos	extend POS	mở rộng POS	rozšířit POS
misc_extend_store	extend store	mở rộng cửa hàng	rozšířit provozovnu
misc_extra	extra	thêm	navíc
misc_false	false	không đúng	špatně
misc_faq_added	FAQ added	FAQ đã tạo	FAQ přidáno
misc_faq_deleted	FAQ deleted	FAQ đã xoá	FAQ smazáno
misc_faq_updated	FAQ updated	FAQ đã cập nhập	FAQ aktualizováno
misc_faqs	frequently asked questions	các câu hỏi thường gặp	často kladené otázky
misc_fetch_ares	Fetch from ARES	Tải từ ARES	Načíst z ARES
misc_fetch_coordinates	fetch coordinates	lấy toạ độ	získat souřadnice
misc_fetched_successfully	fetched successfully	lấy dữ liệu thành công	získání dat úspěšné
misc_field	Field	Các trường	Pole
misc_fields	Field	Các trường	Pole
misc_fill_pdf	Fill PDF	Điền PDF	Vyplnit PDF
misc_filling_in_the_address_fields	by filling in the address fields	bằng cách điền vào các trường địa chỉ	vyplněním polí adresy
misc_filter	Filter	Lọc	Filtr
misc_finish	finish	hoàn tất	ukončit
misc_finish_pause	finish pause	kết thúc tạm dừng	ukončit přerušení
misc_finished	Finished	Xong	Dokončeno
misc_first_name	first name	tên	jméno
misc_forgotten_password	Forgot password	Quên mật khẩu	Zapomenuté heslo
misc_form	Form	Đơn	Formulář
misc_form_addition	addition for form	chi tiết cho mẫu đơn	dodatek k formuláři
misc_form_contact	form contact	thông tin liên hệ của đơn	kontakty formuláře
misc_form_deleted	Form deleted	Đơn đã xoá	Formulář smazán
misc_form_not_linked	form not linked	đơn không kết nối	formulář není odkazován
misc_form_reference_added	Form reference added	đã tạo tham chiếu đơn	Reference formuláře přidána
misc_forms	Forms	Đơn	Formuláře
misc_forms_exist	forms exist	đơn tồn tại	formuláře existují
misc_front_side	front side	phía trước	přední strana
misc_full_name	Surname and first name	Họ và tên	Jméno a příjmení
misc_general	General	Chung	Obecné
misc_generate_documents	generate documents	tạo tài liệu	generovat dokumenty
misc_generate_keys	Generate keys	Tạo khoá	Generování klíčů
misc_generate_pdf	Generate PDF	Tạo PDF	Generovat PDF
misc_generate_token	generate token	tạo token	generovat token
misc_generate_token_and_send	generate token and send	tạo token và gửi	generovat token a odeslat
misc_generic_breaks	Generic breaks	Thời gian nghỉ chung	Obecné přestávky
misc_get_current_location	get current location	lấy vị trí hiện tại	získat aktuální polohu
misc_get_pdf	get PDF	tải PDF	stáhnout PDF
misc_getting_location	Getting location	Đang lấy vị trí	Získávání lokace
misc_getting_location_failed	Getting location failed	Không thể lấy vị trí	nelze získat lokaci
misc_grant_bluetooth_permission	grant Bluetooth permission	cho phép quyền Bluetooth	udělit povolení k použití Bluetooth
misc_grant_location_permission	grant location permission	cấp quyền truy cập vị trí	udělit povolení k použití polohy
misc_grant_permission	grant permission	cho phép quyền	udělit povolení
misc_has_active_terminal	Has active terminal	Có máy đang hoạt động	Má aktivní terminál
misc_has_registered_device	has registered device	đã đăng ký thiết bị	má registrované zařízení
misc_hidden	hidden	ẩn	skryto
misc_history_instructions	history instructions	hướng dẫn lịch sử	instrukce historie
misc_history_instructions_1	You can check your attendance history.	Bạn có thể kiểm tra lịch sử điểm danh của mình.	Můžete zkontrolovat historii docházky.
misc_history_instructions_2	choose the workplace between the tabs.	Chọn nơi làm việc giữa các tab.	Vyberte pracoviště mezi kartami.
misc_home_page	home page	trang chính	domovská stránka
misc_home_page_instructions	home page instructions	hướng dẫn trang chính	instrukce domovské stránky
misc_home_page_instructions_1	after registration, your employer will assign you shifts to the workplace.	đăng ký xong, nhà tuyển dụng sẽ giao ca làm việc cho bạn.	Po registraci vám zaměstnavatel přidělí směny na pracovišti.
misc_home_page_instructions_2	When is the time to check in, you will have to choose the shift and provide check in.	Đến giờ check in, bạn sẽ chọn ca làm việc và check in.	Až nastane čas přihlášení, budete muset vybrat směnu a přihlásit se.
misc_home_page_instructions_3	You must have the location permission to check in.	Bạn cần có quyền truy cập vị trí để check in.	Musíte mít povolení k přístupu k poloze, abyste se mohli přihlásit.
misc_home_page_instructions_4	Sometimes, you will be required to have bluetooth enabled to verify your location with specific device.	Đôi khi, bạn sẽ cần bật bluetooth để xác minh vị trí của mình với thiết bị cụ thể.	Někdy budete muset mít povolený Bluetooth, abyste ověřili svou polohu s konkrétním zařízením.
misc_home_page_instructions_5	during the shift, you can take breaks generated by the employer.	trong ca làm việc, bạn có thể nghỉ theo thời gian do nhà tuyển dụng quy định.	během směny můžete mít přestávky generované zaměstnavatelem.
misc_home_page_instructions_6	however for emergency, you can take a pause by yourself.	tuy nhiên trong trường hợp khẩn cấp, bạn có thể tự nghỉ.	ale v případě nouze můžete přestávku udělat sami.
misc_home_page_instructions_7	you can only have one break at a time.	bạn chỉ có thể nghỉ một lần.	můžete mít pouze jednu přestávku najednou.
misc_home_page_instructions_8	after the shift, you will have to check out.	sau ca làm việc, bạn sẽ phải check out.	Po směně se musíte odhlásit.
misc_home_page_instructions_9	be careful that you will not able to check out if you exceeded the allowed time.	hãy cẩn thận rằng bạn không thể check out nếu vượt quá thời gian cho phép.	buďte opatrní, že se nebudete moci odhlásit, pokud překročíte povolený čas.
misc_hour	hour	giờ	hodina
misc_hour_short	h.	giờ	hod.
misc_hours	hours	giờ	hodiny
misc_id_document	identity document	thẻ căn cước	osobní doklad
misc_import	import	import	import
misc_import_leads	import leads	tải lên leads	nahrát leady
misc_imported	imported	đã import	importováno
misc_imported_list	imported list	danh sách nhập	importovaný seznam
misc_info	information	thông tin	informace
misc_initial_instruction_1	You will need to register this device through your employer using QR Code or manually.	Bạn cần đăng ký thiết bị này thông qua nhà tuyển dụng bằng mã QR hoặc thủ công.	Budete muset zaregistrovat toto zařízení prostřednictvím svého zaměstnavatele pomocí QR kódu nebo ručně.
